itemId,title,thumbnail,genre
tt1185412,Veer,https://upload.wikimedia.org/wikipedia/en/thumb/0/0e/Veer_movie_poster.jpg/220px-Veer_movie_poster.jpg,Action|Adventure|Drama
tt1188982,Jai Ho,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Jai_Ho_%282013_Hindi_film%29_poster.jpg/220px-Jai_Ho_%282013_Hindi_film%29_poster.jpg,Action|Drama
tt1188996,My Name Is Khan,https://upload.wikimedia.org/wikipedia/en/thumb/5/5d/My_Name_Is_Khan_film_poster.jpg/220px-My_Name_Is_Khan_film_poster.jpg,Drama
tt1189006,Toonpur Ka Superrhero,https://upload.wikimedia.org/wikipedia/en/thumb/7/71/Toonpur.jpg/220px-Toonpur.jpg,Action|Adventure|Animation
tt1191118,Hello Darling,https://upload.wikimedia.org/wikipedia/en/thumb/0/0f/Hello_Darling_poster.jpg/220px-Hello_Darling_poster.jpg,Comedy|Drama
tt1191130,Right Yaaa Wrong,https://upload.wikimedia.org/wikipedia/en/thumb/8/85/RightYaaWrong.jpg/220px-RightYaaWrong.jpg,Crime|Drama|Thriller
tt1194232,Jaane Kahan Se Aayi Hai,https://upload.wikimedia.org/wikipedia/en/thumb/9/9f/Jaane_Kahan_Se_Aayi_Hai_poster.jpg/220px-Jaane_Kahan_Se_Aayi_Hai_poster.jpg,Comedy|Drama|Fantasy
tt1194236,Paathshaala,https://upload.wikimedia.org/wikipedia/en/thumb/5/55/Paathshaala1.jpg/220px-Paathshaala1.jpg,Drama|Family
tt1198101,Kites,https://upload.wikimedia.org/wikipedia/en/thumb/e/e1/Kites_Official_Poster.jpg/220px-Kites_Official_Poster.jpg,Action|Drama|Romance
tt1221147,Tera Kya Hoga Johnny,https://upload.wikimedia.org/wikipedia/en/5/54/TeraKyaHogaJohny.jpg,Crime|Drama|Thriller
tt1227524,Aashayein,https://upload.wikimedia.org/wikipedia/en/thumb/7/73/Aashayein-.jpg/220px-Aashayein-.jpg,Drama
